Kode,Nama Perusahaan,Tipe,Currency
AKPI.JK,Argha Karya Prima Industry Tbk,Basic Materials,IDR
ALDO.JK,Alkindo Naratama Tbk.,Basic Materials,IDR
ALKA.JK,Alakasa Industrindo Tbk,Basic Materials,IDR
ALMI.JK,Alumindo Light Metal Industry ,Basic Materials,USD
ANTM.JK,Aneka Tambang Tbk.,Basic Materials,IDR
APLI.JK,Asiaplast Industries Tbk.,Basic Materials,IDR
BAJA.JK,Saranacentral Bajatama Tbk.,Basic Materials,IDR
BMSR.JK,Bintang Mitra Semestaraya Tbk,Basic Materials,IDR
ADMG.JK,Polychem Indonesia Tbk,Basic Materials,USD
AGII.JK,Aneka Gas Industri Tbk.,Basic Materials,IDR
BRMS.JK,Bumi Resources Minerals Tbk.,Basic Materials,USD
BRNA.JK,Berlina Tbk.,Basic Materials,IDR
BRPT.JK,Barito Pacific Tbk.,Basic Materials,USD
CITA.JK,Cita Mineral Investindo Tbk.,Basic Materials,IDR
CLPI.JK,Colorpak Indonesia Tbk.,Basic Materials,IDR
CTBN.JK,Citra Tubindo Tbk.,Basic Materials,USD
DKFT.JK,Central Omega Resources Tbk.,Basic Materials,IDR
DPNS.JK,Duta Pertiwi Nusantara Tbk.,Basic Materials,IDR
EKAD.JK,Ekadharma International Tbk.,Basic Materials,IDR
ESSA.JK,Surya Esa Perkasa Tbk.,Basic Materials,USD
FASW.JK,Fajar Surya Wisesa Tbk.,Basic Materials,IDR
FPNI.JK,Lotte Chemical Titan Tbk.,Basic Materials,USD
GDST.JK,Gunawan Dianjaya Steel Tbk.,Basic Materials,IDR
IGAR.JK,Champion Pacific Indonesia Tbk,Basic Materials,IDR
INKP.JK,Indah Kiat Pulp & Paper Tbk.,Basic Materials,USD
INRU.JK,Toba Pulp Lestari Tbk.,Basic Materials,USD
INTD.JK,Inter Delta Tbk,Basic Materials,IDR
INTP.JK,Indocement Tunggal Prakarsa Tb,Basic Materials,IDR
IPOL.JK,Indopoly Swakarsa Industry Tbk,Basic Materials,USD
ISSP.JK,Steel Pipe Industry of Indones,Basic Materials,IDR
JKSW.JK,Jakarta Kyoei Steel Works Tbk.,Basic Materials,IDR
KDSI.JK,Kedawung Setia Industrial Tbk.,Basic Materials,IDR
KRAS.JK,Krakatau Steel (Persero) Tbk.,Basic Materials,USD
LMSH.JK,Lionmesh Prima Tbk.,Basic Materials,IDR
LTLS.JK,Lautan Luas Tbk.,Basic Materials,IDR
MDKA.JK,Merdeka Copper Gold Tbk.,Basic Materials,USD
NIKL.JK,Pelat Timah Nusantara Tbk.,Basic Materials,USD
OKAS.JK,Ancora Indonesia Resources Tbk,Basic Materials,USD
PICO.JK,Pelangi Indah Canindo Tbk,Basic Materials,IDR
PSAB.JK,J Resources Asia Pasifik Tbk.,Basic Materials,USD
SIMA.JK,Siwani Makmur Tbk,Basic Materials,IDR
SMBR.JK,Semen Baturaja (Persero) Tbk.,Basic Materials,IDR
SMCB.JK,Solusi Bangun Indonesia Tbk.,Basic Materials,IDR
SMGR.JK,Semen Indonesia (Persero) Tbk.,Basic Materials,IDR
SPMA.JK,Suparma Tbk.,Basic Materials,IDR
SQMI.JK,Wilton Makmur Indonesia Tbk.,Basic Materials,IDR
SRSN.JK,Indo Acidatama Tbk,Basic Materials,IDR
SULI.JK,SLJ Global Tbk.,Basic Materials,USD
TALF.JK,Tunas Alfin Tbk.,Basic Materials,IDR
TBMS.JK,Tembaga Mulia Semanan Tbk.,Basic Materials,USD
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials,USD
TPIA.JK,Chandra Asri Petrochemical Tbk,Basic Materials,USD
TRST.JK,Trias Sentosa Tbk.,Basic Materials,IDR
UNIC.JK,Unggul Indah Cahaya Tbk.,Basic Materials,USD
INCF.JK,Indo Komoditi Korpora Tbk.,Basic Materials,IDR
WSBP.JK,Waskita Beton Precast Tbk.,Basic Materials,IDR
KMTR.JK,Kirana Megatara Tbk.,Basic Materials,IDR
MDKI.JK,Emdeki Utama Tbk.,Basic Materials,IDR
ZINC.JK,Kapuas Prima Coal Tbk.,Basic Materials,IDR
PBID.JK,Panca Budi Idaman Tbk.,Basic Materials,IDR
TDPM.JK,Tridomain Performance Material,Basic Materials,USD
SWAT.JK,Sriwahana Adityakarta Tbk.,Basic Materials,IDR
MOLI.JK,Madusari Murni Indah Tbk.,Basic Materials,IDR
HKMU.JK,HK Metals Utama Tbk.,Basic Materials,IDR
KAYU.JK,Darmi Bersaudara Tbk.,Basic Materials,IDR
SMKL.JK,Satyamitra Kemas Lestari Tbk.,Basic Materials,IDR
GGRP.JK,Gunung Raja Paksi Tbk.,Basic Materials,USD
OPMS.JK,Optima Prima Metal Sinergi Tbk,Basic Materials,IDR
PURE.JK,Trinitan Metals and Minerals T,Basic Materials,IDR
ESIP.JK,Sinergi Inti Plastindo Tbk.,Basic Materials,IDR
IFSH.JK,Ifishdeco Tbk.,Basic Materials,IDR
IFII.JK,Indonesia Fibreboard Industry ,Basic Materials,IDR
AYLS.JK,Agro Yasa Lestari Tbk.,Basic Materials,IDR
SAMF.JK,Saraswanti Anugerah Makmur Tbk,Basic Materials,IDR
EPAC.JK,Megalestari Epack Sentosaraya ,Basic Materials,IDR
PNGO.JK,Pinago Utama Tbk.,Basic Materials,IDR
BEBS.JK,Berkah Beton Sadaya Tbk.,Basic Materials,IDR
NPGF.JK,Nusa Palapa Gemilang Tbk.,Basic Materials,IDR
ARCI.JK,Archi Indonesia Tbk.,Basic Materials,USD
NICL.JK,PAM Mineral Tbk.,Basic Materials,IDR
TINS.JK,Timah Tbk.,Basic Materials,IDR
TIRT.JK,Tirta Mahakam Resources Tbk,Basic Materials,IDR
BTON.JK,Betonjaya Manunggal Tbk.,Basic Materials,IDR
SBMA.JK,Surya Biru Murni Acetylene Tbk,Basic Materials,IDR
CMNT.JK,Cemindo Gemilang Tbk.,Basic Materials,IDR
WTON.JK,Wijaya Karya Beton Tbk.,Basic Materials,IDR
YPAS.JK,Yanaprima Hastapersada Tbk,Basic Materials,IDR
INAI.JK,Indal Aluminium Industry Tbk.,Basic Materials,IDR
INCI.JK,Intanwijaya Internasional Tbk,Basic Materials,IDR
INCO.JK,Vale Indonesia Tbk.,Basic Materials,USD
AVIA.JK,Avia Avian Tbk.,Basic Materials,IDR
KBRI.JK,Kertas Basuki Rachmat Indonesi,Basic Materials,IDR
CHEM.JK,Chemstar Indonesia Tbk.,Basic Materials,IDR
KKES.JK,Kusuma Kemindo Sentosa Tbk.,Basic Materials,IDR
